filename,commentLines,functionCount,functionLines,includeLines,totalLines,whitespaceLines
/cmpt816/linux/scripts/mod/empty.c,1,0,0,0,2,1
/cmpt816/linux/init/main.c,177,39,462,63,897,122
/cmpt816/linux/init/version.c,8,1,14,6,48,6
/cmpt816/linux/init/do_mounts.c,40,16,287,21,421,51
/cmpt816/linux/init/do_mounts_rd.c,40,9,227,11,327,40
/cmpt816/linux/init/do_mounts_initrd.c,15,4,83,10,130,17
/cmpt816/linux/init/do_mounts_md.c,46,6,211,4,303,33
/cmpt816/linux/init/initramfs.c,13,31,499,13,609,57
/cmpt816/linux/init/calibrate.c,52,4,92,5,177,18
/cmpt816/linux/arch/x86/kernel/process_64.c,124,24,413,39,675,76
/cmpt816/linux/arch/x86/kernel/signal.c,163,27,522,23,896,128
/cmpt816/linux/arch/x86/kernel/traps.c,188,36,580,41,986,122
/cmpt816/linux/arch/x86/kernel/irq.c,33,7,168,10,256,41
/cmpt816/linux/arch/x86/kernel/irq_64.c,20,4,78,11,143,26
/cmpt816/linux/arch/x86/kernel/dumpstack_64.c,67,5,183,14,300,28
/cmpt816/linux/arch/x86/kernel/time_64.c,20,6,83,12,136,18
/cmpt816/linux/arch/x86/kernel/ioport.c,36,5,69,12,144,22
/cmpt816/linux/arch/x86/kernel/ldt.c,22,9,199,12,268,31
/cmpt816/linux/arch/x86/kernel/dumpstack.c,51,21,210,16,359,45
/cmpt816/linux/arch/x86/kernel/setup.c,176,36,595,76,1088,165
/cmpt816/linux/arch/x86/kernel/i8259.c,109,18,170,24,361,45
/cmpt816/linux/arch/x86/kernel/irqinit_64.c,36,7,91,23,178,26
/cmpt816/linux/arch/x86/kernel/sys_x86_64.c,39,5,142,18,239,32
/cmpt816/linux/arch/x86/kernel/x8664_ksyms_64.c,7,0,0,8,61,13
/cmpt816/linux/arch/x86/kernel/syscall_64.c,5,1,5,6,30,7
/cmpt816/linux/arch/x86/kernel/vsyscall_64.c,64,19,187,23,323,38
/cmpt816/linux/arch/x86/kernel/bootflag.c,5,5,61,9,103,21
/cmpt816/linux/arch/x86/kernel/e820.c,327,52,890,18,1451,172
/cmpt816/linux/arch/x86/kernel/pci-dma.c,37,12,173,11,309,56
/cmpt816/linux/arch/x86/kernel/quirks.c,49,16,296,3,496,75
/cmpt816/linux/arch/x86/kernel/i8237.c,18,5,37,3,72,13
/cmpt816/linux/arch/x86/kernel/topology.c,38,4,25,5,83,8
/cmpt816/linux/arch/x86/kernel/kdebugfs.c,9,9,153,8,218,43
/cmpt816/linux/arch/x86/kernel/alternative.c,80,22,325,18,547,62
/cmpt816/linux/arch/x86/kernel/i8253.c,86,9,100,11,233,28
/cmpt816/linux/arch/x86/kernel/pci-nommu.c,18,6,54,9,98,11
/cmpt816/linux/arch/x86/kernel/tsc.c,271,28,431,17,884,124
/cmpt816/linux/arch/x86/kernel/io_delay.c,21,5,90,6,132,12
/cmpt816/linux/arch/x86/kernel/rtc.c,44,11,151,7,250,39
/cmpt816/linux/arch/x86/kernel/trampoline.c,12,2,13,3,34,5
/cmpt816/linux/arch/x86/kernel/process.c,136,33,355,16,616,80
/cmpt816/linux/arch/x86/kernel/i387.c,97,23,413,10,670,101
/cmpt816/linux/arch/x86/kernel/xsave.c,99,8,170,5,348,57
/cmpt816/linux/arch/x86/kernel/ptrace.c,289,46,886,31,1469,184
/cmpt816/linux/arch/x86/kernel/tls.c,16,10,140,13,219,39
/cmpt816/linux/arch/x86/kernel/step.c,75,8,116,3,230,34
/cmpt816/linux/arch/x86/kernel/stacktrace.c,12,13,110,5,150,21
/cmpt816/linux/arch/x86/kernel/acpi/boot.c,386,67,1207,17,1975,275
/cmpt816/linux/arch/x86/kernel/acpi/sleep.c,40,4,92,8,173,23
/cmpt816/linux/arch/x86/kernel/acpi/realmode/wakemain.c,12,4,52,2,82,13
/cmpt816/linux/arch/x86/kernel/acpi/realmode/video-mode.c,0,0,0,1,2,1
/cmpt816/linux/arch/x86/kernel/acpi/realmode/video-vga.c,0,0,0,1,2,1
/cmpt816/linux/arch/x86/kernel/acpi/realmode/video-vesa.c,0,0,0,1,2,1
/cmpt816/linux/arch/x86/kernel/acpi/realmode/video-bios.c,0,0,0,1,2,1
/cmpt816/linux/arch/x86/kernel/acpi/cstate.c,27,7,91,8,171,26
/cmpt816/linux/arch/x86/kernel/acpi/processor.c,15,2,49,6,88,16
/cmpt816/linux/arch/x86/kernel/apic/apic.c,608,72,1244,32,2276,308
/cmpt816/linux/arch/x86/kernel/apic/probe_64.c,18,4,52,13,101,11
/cmpt816/linux/arch/x86/kernel/apic/ipi.c,20,10,94,18,165,25
/cmpt816/linux/arch/x86/kernel/apic/nmi.c,117,29,325,20,567,77
/cmpt816/linux/arch/x86/kernel/apic/io_apic.c,674,166,2723,39,4210,633
/cmpt816/linux/arch/x86/kernel/apic/apic_flat_64.c,46,25,251,12,374,59
/cmpt816/linux/arch/x86/kernel/cpu/intel_cacheinfo.c,109,53,714,11,1016,142
/cmpt816/linux/arch/x86/kernel/cpu/addon_cpuid_features.c,27,4,74,4,139,29
/cmpt816/linux/arch/x86/kernel/cpu/proc.c,9,8,133,5,170,20
/cmpt816/linux/arch/x86/kernel/cpu/capflags.c,0,1,115,1,117,2
/cmpt816/linux/arch/x86/kernel/cpu/powerflags.c,11,1,7,1,21,2
/cmpt816/linux/arch/x86/kernel/cpu/common.c,199,51,747,37,1241,212
/cmpt816/linux/arch/x86/kernel/cpu/vmware.c,39,5,45,3,113,13
/cmpt816/linux/arch/x86/kernel/cpu/hypervisor.c,22,4,26,3,59,5
/cmpt816/linux/arch/x86/kernel/cpu/bugs_64.c,12,1,11,7,34,3
/cmpt816/linux/arch/x86/kernel/cpu/intel.c,92,12,303,20,486,59
/cmpt816/linux/arch/x86/kernel/cpu/amd.c,116,12,314,8,529,72
/cmpt816/linux/arch/x86/kernel/cpu/centaur.c,139,14,296,8,501,48
/cmpt816/linux/arch/x86/kernel/cpu/cpufreq/acpi-cpufreq.c,89,34,587,17,856,145
/cmpt816/linux/arch/x86/kernel/cpu/mcheck/mce_64.c,201,56,760,28,1188,162
/cmpt816/linux/arch/x86/kernel/cpu/mcheck/therm_throt.c,62,6,75,7,189,22
/cmpt816/linux/arch/x86/kernel/cpu/mcheck/mce_intel_64.c,62,12,177,11,299,44
/cmpt816/linux/arch/x86/kernel/cpu/mcheck/mce_amd_64.c,54,31,479,15,697,111
/cmpt816/linux/arch/x86/kernel/cpu/mcheck/threshold.c,4,2,14,6,30,5
/cmpt816/linux/arch/x86/kernel/cpu/mtrr/main.c,246,23,399,14,751,73
/cmpt816/linux/arch/x86/kernel/cpu/mtrr/if.c,17,11,360,9,428,30
/cmpt816/linux/arch/x86/kernel/cpu/mtrr/generic.c,114,30,462,13,730,124
/cmpt816/linux/arch/x86/kernel/cpu/mtrr/state.c,19,3,41,8,83,15
/cmpt816/linux/arch/x86/kernel/cpu/mtrr/cleanup.c,105,35,760,14,1102,172
/cmpt816/linux/arch/x86/kernel/cpu/perfctr-watchdog.c,134,39,507,9,807,116
/cmpt816/linux/arch/x86/kernel/reboot.c,190,33,392,17,724,93
/cmpt816/linux/arch/x86/kernel/msr.c,30,11,165,17,252,29
/cmpt816/linux/arch/x86/kernel/cpuid.c,31,12,152,17,240,30
/cmpt816/linux/arch/x86/kernel/early-quirks.c,49,14,185,9,290,37
/cmpt816/linux/arch/x86/kernel/smp.c,103,8,73,14,212,19
/cmpt816/linux/arch/x86/kernel/smpboot.c,352,43,722,25,1337,195
/cmpt816/linux/arch/x86/kernel/tsc_sync.c,82,3,80,6,200,25
/cmpt816/linux/arch/x86/kernel/setup_percpu.c,112,12,220,20,434,55
/cmpt816/linux/arch/x86/kernel/mpparse.c,136,43,754,21,1083,146
/cmpt816/linux/arch/x86/kernel/machine_kexec_64.c,44,14,249,11,354,46
/cmpt816/linux/arch/x86/kernel/crash.c,28,4,41,19,108,16
/cmpt816/linux/arch/x86/kernel/crash_dump_64.c,20,1,18,4,52,7
/cmpt816/linux/arch/x86/kernel/kprobes.c,365,35,583,13,1069,87
/cmpt816/linux/arch/x86/kernel/module_64.c,25,7,119,12,195,23
/cmpt816/linux/arch/x86/kernel/efi.c,77,24,377,15,582,72
/cmpt816/linux/arch/x86/kernel/efi_64.c,20,5,51,21,111,14
/cmpt816/linux/arch/x86/kernel/early_printk.c,71,33,650,18,946,156
/cmpt816/linux/arch/x86/kernel/hpet.c,166,65,735,18,1202,206
/cmpt816/linux/arch/x86/kernel/k8.c,11,5,82,7,124,17
/cmpt816/linux/arch/x86/kernel/pcspeaker.c,0,1,6,3,14,4
/cmpt816/linux/arch/x86/kernel/microcode_core.c,86,28,312,21,521,84
/cmpt816/linux/arch/x86/kernel/microcode_intel.c,93,18,294,21,500,74
/cmpt816/linux/arch/x86/kernel/microcode_amd.c,22,16,257,22,373,64
/cmpt816/linux/arch/x86/kernel/check.c,10,7,92,6,162,41
/cmpt816/linux/arch/x86/kernel/pci-swiotlb.c,2,8,59,9,85,13
/cmpt816/linux/arch/x86/kernel/pmtimer_64.c,23,4,28,10,70,7
/cmpt816/linux/arch/x86/kernel/audit_64.c,0,8,72,9,82,10
/cmpt816/linux/arch/x86/kernel/pci-gart_64.c,114,32,582,27,905,131
/cmpt816/linux/arch/x86/kernel/aperture_64.c,89,11,321,17,506,73
/cmpt816/linux/arch/x86/kernel/pci-calgary_64.c,187,62,1075,23,1658,293
/cmpt816/linux/arch/x86/kernel/tce_64.c,36,8,104,11,190,37
/cmpt816/linux/arch/x86/kernel/amd_iommu_init.c,286,50,708,12,1240,190
/cmpt816/linux/arch/x86/kernel/amd_iommu.c,296,67,1159,13,1948,387
/cmpt816/linux/arch/x86/kernel/mmconf-fam10h_64.c,25,9,168,12,244,38
/cmpt816/linux/arch/x86/kernel/vsmp_64.c,21,12,96,8,161,22
/cmpt816/linux/arch/x86/kernel/head64.c,20,5,63,20,125,20
/cmpt816/linux/arch/x86/kernel/head.c,24,1,16,4,56,11
/cmpt816/linux/arch/x86/kernel/init_task.c,19,1,2,10,45,7
/cmpt816/linux/arch/x86/kernel/test_nx.c,64,4,73,5,176,21
/cmpt816/linux/arch/x86/mm/init.c,69,10,250,11,410,59
/cmpt816/linux/arch/x86/mm/init_64.c,121,43,636,42,1016,165
/cmpt816/linux/arch/x86/mm/fault.c,267,36,616,32,1149,187
/cmpt816/linux/arch/x86/mm/ioremap.c,139,29,461,14,751,105
