1636.0,7.0,14.0,80.0,28.0,3.0,13.0,6.0,85.0,1.0,8.0
8.0,45.0,0.0,7.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
2.0,0.0,10.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
61.0,1.0,1.0,322.0,6.0,0.0,1.0,0.0,2.0,0.0,2.0
21.0,0.0,0.0,17.0,203.0,3.0,16.0,1.0,18.0,0.0,0.0
0.0,0.0,1.0,0.0,0.0,37.0,0.0,0.0,22.0,0.0,0.0
25.0,0.0,0.0,2.0,16.0,3.0,96.0,0.0,2.0,0.0,6.0
16.0,0.0,0.0,0.0,4.0,0.0,0.0,143.0,4.0,0.0,7.0
47.0,1.0,0.0,2.0,8.0,4.0,5.0,1.0,391.0,0.0,0.0
2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0
20.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,11.0,0.0,108.0
