filename,commentLines,functionCount,functionLines,includeLines,totalLines,whitespaceLines
/cmpt816/linux/scripts/mod/empty.c,1,0,0,0,2,1
/cmpt816/linux/init/main.c,172,40,457,57,889,123
/cmpt816/linux/init/version.c,8,1,14,6,45,6
/cmpt816/linux/init/do_mounts.c,34,16,282,18,407,51
/cmpt816/linux/init/do_mounts_rd.c,65,13,255,10,430,58
/cmpt816/linux/init/do_mounts_initrd.c,15,4,83,10,130,17
/cmpt816/linux/init/initramfs.c,27,31,439,11,581,57
/cmpt816/linux/init/calibrate.c,49,4,91,4,173,20
/cmpt816/linux/arch/x86/kernel/process_64.c,162,36,554,36,871,93
/cmpt816/linux/arch/x86/kernel/signal_64.c,109,12,293,20,522,71
/cmpt816/linux/arch/x86/kernel/traps_64.c,209,49,754,38,1219,143
/cmpt816/linux/arch/x86/kernel/irq_64.c,41,6,175,9,267,34
/cmpt816/linux/arch/x86/kernel/time_64.c,18,6,87,11,139,20
/cmpt816/linux/arch/x86/kernel/ioport.c,42,5,75,11,155,22
/cmpt816/linux/arch/x86/kernel/ldt.c,22,9,195,11,262,30
/cmpt816/linux/arch/x86/kernel/setup_64.c,158,39,730,66,1195,187
/cmpt816/linux/arch/x86/kernel/i8259_64.c,154,21,240,23,513,62
/cmpt816/linux/arch/x86/kernel/setup.c,22,4,66,13,140,20
/cmpt816/linux/arch/x86/kernel/sys_x86_64.c,39,5,142,17,237,32
/cmpt816/linux/arch/x86/kernel/x8664_ksyms_64.c,7,0,0,7,61,13
/cmpt816/linux/arch/x86/kernel/syscall_64.c,5,1,5,6,30,7
/cmpt816/linux/arch/x86/kernel/vsyscall_64.c,58,19,185,23,310,35
/cmpt816/linux/arch/x86/kernel/setup64.c,62,7,139,21,288,45
/cmpt816/linux/arch/x86/kernel/bootflag.c,5,5,61,9,103,21
/cmpt816/linux/arch/x86/kernel/e820_64.c,216,30,594,19,953,99
/cmpt816/linux/arch/x86/kernel/pci-dma.c,55,19,339,8,533,81
/cmpt816/linux/arch/x86/kernel/quirks.c,46,12,230,3,406,63
/cmpt816/linux/arch/x86/kernel/i8237.c,18,5,37,3,73,14
