filename,commentLines,functionCount,functionLines,includeLines,totalLines,whitespaceLines
/cmpt816/linux/scripts/mod/empty.c,1,0,0,0,2,1
/cmpt816/linux/init/main.c,184,39,487,69,920,121
/cmpt816/linux/init/version.c,8,1,16,7,51,6
/cmpt816/linux/init/do_mounts.c,82,19,386,22,591,71
/cmpt816/linux/init/do_mounts_initrd.c,22,4,76,10,134,18
/cmpt816/linux/init/do_mounts_md.c,51,6,211,4,313,34
/cmpt816/linux/init/initramfs.c,22,31,503,13,628,58
/cmpt816/linux/init/calibrate.c,76,7,180,6,302,31
/cmpt816/linux/init/init_task.c,5,1,2,11,27,5
/cmpt816/linux/arch/x86/ia32/sys_ia32.c,35,23,173,26,292,36
/cmpt816/linux/arch/x86/ia32/ia32_signal.c,62,14,321,25,503,83
/cmpt816/linux/arch/x86/ia32/nosyscall.c,0,1,4,2,8,2
/cmpt816/linux/arch/x86/ia32/syscall_ia32.c,5,1,5,6,26,6
/cmpt816/linux/arch/x86/ia32/ipc32.c,2,1,35,11,55,6
/cmpt816/linux/arch/x86/ia32/audit.c,0,6,40,6,43,7
/cmpt816/linux/arch/x86/kernel/process_64.c,89,15,356,34,551,57
/cmpt816/linux/arch/x86/kernel/signal.c,130,25,496,27,810,124
/cmpt816/linux/arch/x86/kernel/traps.c,169,27,421,43,768,90
/cmpt816/linux/arch/x86/kernel/irq.c,53,7,213,15,335,48
/cmpt816/linux/arch/x86/kernel/irq_64.c,17,3,56,11,111,20
/cmpt816/linux/arch/x86/kernel/dumpstack_64.c,65,7,188,12,307,32
/cmpt816/linux/arch/x86/kernel/time.c,23,7,47,11,96,11
/cmpt816/linux/arch/x86/kernel/ioport.c,35,2,49,13,115,17
/cmpt816/linux/arch/x86/kernel/ldt.c,22,9,199,12,268,31
/cmpt816/linux/arch/x86/kernel/dumpstack.c,45,18,202,14,348,47
/cmpt816/linux/arch/x86/kernel/nmi.c,178,20,231,14,513,68
/cmpt816/linux/arch/x86/kernel/setup.c,201,39,682,82,1252,213
/cmpt816/linux/arch/x86/kernel/x86_init.c,9,11,94,20,130,17
/cmpt816/linux/arch/x86/kernel/i8259.c,114,25,206,22,402,52
/cmpt816/linux/arch/x86/kernel/irqinit.c,59,9,95,26,215,35
/cmpt816/linux/arch/x86/kernel/jump_label.c,6,4,31,9,60,9
/cmpt816/linux/arch/x86/kernel/irq_work.c,5,2,17,4,31,4
/cmpt816/linux/arch/x86/kernel/probe_roms.c,11,13,184,21,269,52
/cmpt816/linux/arch/x86/kernel/sys_x86_64.c,21,7,117,19,193,27
/cmpt816/linux/arch/x86/kernel/x8664_ksyms_64.c,7,0,0,8,69,12
/cmpt816/linux/arch/x86/kernel/syscall_64.c,6,1,5,6,34,8
/cmpt816/linux/arch/x86/kernel/vsyscall_64.c,66,13,231,29,403,66
/cmpt816/linux/arch/x86/kernel/bootflag.c,5,5,61,8,102,21
/cmpt816/linux/arch/x86/kernel/e820.c,264,39,666,15,1130,149
/cmpt816/linux/arch/x86/kernel/pci-dma.c,33,9,157,15,278,43
/cmpt816/linux/arch/x86/kernel/quirks.c,61,18,315,3,570,82
/cmpt816/linux/arch/x86/kernel/topology.c,52,7,76,7,171,20
/cmpt816/linux/arch/x86/kernel/kdebugfs.c,9,8,151,9,215,41
/cmpt816/linux/arch/x86/kernel/alternative.c,130,30,424,20,693,74
/cmpt816/linux/arch/x86/kernel/i8253.c,16,2,12,7,44,5
/cmpt816/linux/arch/x86/kernel/pci-nommu.c,17,6,54,10,101,11
/cmpt816/linux/arch/x86/kernel/hw_breakpoint.c,142,16,284,16,525,72
/cmpt816/linux/arch/x86/kernel/tsc.c,323,32,487,19,1032,153
/cmpt816/linux/arch/x86/kernel/io_delay.c,21,5,90,6,132,12
/cmpt816/linux/arch/x86/kernel/rtc.c,45,9,146,11,250,40
/cmpt816/linux/arch/x86/kernel/pci-iommu_table.c,5,4,47,4,80,15
/cmpt816/linux/arch/x86/kernel/resource.c,3,3,32,2,49,10
/cmpt816/linux/arch/x86/kernel/process.c,110,32,312,28,560,83
/cmpt816/linux/arch/x86/kernel/i387.c,121,24,340,12,599,88
/cmpt816/linux/arch/x86/kernel/xsave.c,172,19,341,6,629,98
/cmpt816/linux/arch/x86/kernel/ptrace.c,239,50,1015,38,1570,195
/cmpt816/linux/arch/x86/kernel/tls.c,16,10,140,12,218,39
/cmpt816/linux/arch/x86/kernel/step.c,82,8,113,4,231,30
/cmpt816/linux/arch/x86/kernel/i8237.c,18,3,23,3,56,10
/cmpt816/linux/arch/x86/kernel/stacktrace.c,12,13,106,5,147,21
/cmpt816/linux/arch/x86/kernel/acpi/boot.c,338,64,1013,21,1718,260
/cmpt816/linux/arch/x86/kernel/acpi/sleep.c,15,2,69,12,116,13
/cmpt816/linux/arch/x86/kernel/acpi/cstate.c,48,8,107,10,205,28
/cmpt816/linux/arch/x86/kernel/apic/apic.c,667,85,1407,39,2547,351
