filename,commentLines,functionCount,functionLines,includeLines,totalLines,whitespaceLines
/cmpt816/linux/scripts/mod/empty.c,1,0,0,0,2,1
/cmpt816/linux/init/main.c,185,39,476,69,910,120
/cmpt816/linux/init/version.c,8,1,16,7,51,6
/cmpt816/linux/init/do_mounts.c,82,19,386,22,591,71
/cmpt816/linux/init/do_mounts_initrd.c,22,4,80,10,138,18
/cmpt816/linux/init/do_mounts_md.c,51,6,211,4,313,34
/cmpt816/linux/init/initramfs.c,22,31,503,13,628,58
/cmpt816/linux/init/calibrate.c,76,7,180,6,302,31
/cmpt816/linux/init/init_task.c,5,1,2,11,27,5
/cmpt816/linux/arch/x86/ia32/sys_ia32.c,35,18,140,26,246,28
/cmpt816/linux/arch/x86/ia32/ia32_signal.c,62,14,321,25,503,83
/cmpt816/linux/arch/x86/ia32/nosyscall.c,0,1,4,2,8,2
/cmpt816/linux/arch/x86/ia32/syscall_ia32.c,5,1,5,6,26,6
/cmpt816/linux/arch/x86/ia32/audit.c,0,6,40,6,43,7
/cmpt816/linux/arch/x86/kernel/process_64.c,89,15,355,34,550,57
/cmpt816/linux/arch/x86/kernel/signal.c,130,25,496,27,810,124
/cmpt816/linux/arch/x86/kernel/traps.c,174,27,435,44,793,95
/cmpt816/linux/arch/x86/kernel/irq.c,56,8,220,15,353,54
/cmpt816/linux/arch/x86/kernel/irq_64.c,17,3,56,11,111,20
/cmpt816/linux/arch/x86/kernel/dumpstack_64.c,65,7,184,12,303,32
/cmpt816/linux/arch/x86/kernel/time.c,23,7,47,11,96,11
/cmpt816/linux/arch/x86/kernel/ioport.c,35,2,49,13,115,17
/cmpt816/linux/arch/x86/kernel/ldt.c,22,9,199,12,268,31
/cmpt816/linux/arch/x86/kernel/dumpstack.c,46,17,196,14,342,47
/cmpt816/linux/arch/x86/kernel/nmi.c,178,20,231,14,513,68
/cmpt816/linux/arch/x86/kernel/setup.c,201,39,681,81,1250,213
/cmpt816/linux/arch/x86/kernel/x86_init.c,9,11,94,20,130,17
/cmpt816/linux/arch/x86/kernel/i8259.c,114,25,206,22,402,52
/cmpt816/linux/arch/x86/kernel/irqinit.c,60,9,98,26,219,35
/cmpt816/linux/arch/x86/kernel/jump_label.c,6,4,31,9,60,9
/cmpt816/linux/arch/x86/kernel/irq_work.c,5,2,17,4,31,4
/cmpt816/linux/arch/x86/kernel/probe_roms.c,11,13,184,21,269,52
/cmpt816/linux/arch/x86/kernel/sys_x86_64.c,21,7,117,19,193,27
/cmpt816/linux/arch/x86/kernel/x8664_ksyms_64.c,7,0,0,8,69,12
/cmpt816/linux/arch/x86/kernel/syscall_64.c,6,1,5,6,34,8
/cmpt816/linux/arch/x86/kernel/vsyscall_64.c,66,13,231,29,403,66
/cmpt816/linux/arch/x86/kernel/bootflag.c,5,5,61,8,102,21
/cmpt816/linux/arch/x86/kernel/e820.c,264,39,666,15,1130,149
/cmpt816/linux/arch/x86/kernel/pci-dma.c,33,9,157,15,278,43
/cmpt816/linux/arch/x86/kernel/quirks.c,61,18,317,3,574,84
/cmpt816/linux/arch/x86/kernel/topology.c,52,7,76,7,171,20
/cmpt816/linux/arch/x86/kernel/kdebugfs.c,9,8,151,9,215,41
/cmpt816/linux/arch/x86/kernel/alternative.c,130,30,424,20,693,74
/cmpt816/linux/arch/x86/kernel/i8253.c,16,2,12,7,44,5
/cmpt816/linux/arch/x86/kernel/pci-nommu.c,17,6,54,10,101,11
/cmpt816/linux/arch/x86/kernel/hw_breakpoint.c,142,16,284,16,525,72
/cmpt816/linux/arch/x86/kernel/tsc.c,323,32,490,19,1036,154
/cmpt816/linux/arch/x86/kernel/io_delay.c,21,5,90,6,132,12
/cmpt816/linux/arch/x86/kernel/rtc.c,26,9,127,12,205,32
/cmpt816/linux/arch/x86/kernel/pci-iommu_table.c,5,4,47,4,80,15
/cmpt816/linux/arch/x86/kernel/resource.c,3,3,32,2,49,10
/cmpt816/linux/arch/x86/kernel/process.c,78,33,271,28,472,68
/cmpt816/linux/arch/x86/kernel/i387.c,117,24,340,12,595,88
/cmpt816/linux/arch/x86/kernel/xsave.c,172,19,341,6,629,98
/cmpt816/linux/arch/x86/kernel/ptrace.c,239,50,1015,38,1570,195
/cmpt816/linux/arch/x86/kernel/tls.c,16,10,136,12,214,39
/cmpt816/linux/arch/x86/kernel/step.c,82,8,113,4,231,30
/cmpt816/linux/arch/x86/kernel/i8237.c,18,3,23,3,56,10
/cmpt816/linux/arch/x86/kernel/stacktrace.c,12,13,106,5,147,21
/cmpt816/linux/arch/x86/kernel/acpi/boot.c,338,64,1013,21,1718,260
/cmpt816/linux/arch/x86/kernel/acpi/sleep.c,15,2,69,12,116,13
/cmpt816/linux/arch/x86/kernel/acpi/cstate.c,48,8,107,10,205,28
/cmpt816/linux/arch/x86/kernel/apic/apic.c,667,85,1407,39,2547,351
/cmpt816/linux/arch/x86/kernel/apic/apic_noop.c,23,22,123,18,193,36
/cmpt816/linux/arch/x86/kernel/apic/ipi.c,20,10,96,18,168,26
/cmpt816/linux/arch/x86/kernel/apic/hw_nmi.c,17,4,41,9,92,17
/cmpt816/linux/arch/x86/kernel/apic/io_apic.c,634,169,2461,38,3862,629
/cmpt816/linux/arch/x86/kernel/apic/apic_flat_64.c,33,21,225,13,337,57
/cmpt816/linux/arch/x86/kernel/apic/probe_64.c,14,3,36,13,73,9
/cmpt816/linux/arch/x86/kernel/cpu/intel_cacheinfo.c,149,60,829,14,1251,193
/cmpt816/linux/arch/x86/kernel/cpu/scattered.c,5,3,55,4,73,11
/cmpt816/linux/arch/x86/kernel/cpu/topology.c,27,1,43,4,100,18
/cmpt816/linux/arch/x86/kernel/cpu/proc.c,4,8,126,5,158,20
/cmpt816/linux/arch/x86/kernel/cpu/capflags.c,0,1,165,1,169,2
/cmpt816/linux/arch/x86/kernel/cpu/powerflags.c,12,1,7,1,22,2
/cmpt816/linux/arch/x86/kernel/cpu/common.c,214,61,808,42,1366,235
/cmpt816/linux/arch/x86/kernel/cpu/rdrand.c,28,3,32,3,74,7
/cmpt816/linux/arch/x86/kernel/cpu/match.c,24,3,54,5,92,6
/cmpt816/linux/arch/x86/kernel/cpu/bugs_64.c,12,1,11,7,34,3
/cmpt816/linux/arch/x86/kernel/cpu/intel.c,134,15,468,18,727,84
/cmpt816/linux/arch/x86/kernel/cpu/amd.c,212,22,527,12,923,138
/cmpt816/linux/arch/x86/kernel/cpu/centaur.c,139,14,296,8,501,48
/cmpt816/linux/arch/x86/kernel/cpu/perf_event.c,325,86,1310,23,2096,390
/cmpt816/linux/arch/x86/kernel/cpu/perf_event_amd.c,178,26,422,7,730,90
/cmpt816/linux/arch/x86/kernel/cpu/perf_event_amd_uncore.c,30,32,382,10,548,108
/cmpt816/linux/arch/x86/kernel/cpu/perf_event_p6.c,53,11,169,3,262,26
/cmpt816/linux/arch/x86/kernel/cpu/perf_event_knc.c,50,14,207,4,320,46
/cmpt816/linux/arch/x86/kernel/cpu/perf_event_p4.c,208,31,999,5,1345,120
/cmpt816/linux/arch/x86/kernel/cpu/perf_event_intel_lbr.c,190,26,378,6,723,104
/cmpt816/linux/arch/x86/kernel/cpu/perf_event_intel_ds.c,186,36,536,6,907,177
/cmpt816/linux/arch/x86/kernel/cpu/perf_event_intel.c,468,74,1391,8,2242,271
/cmpt816/linux/arch/x86/kernel/cpu/perf_event_intel_uncore.c,919,183,2288,1,3657,404
/cmpt816/linux/arch/x86/kernel/cpu/mcheck/mce.c,508,109,1480,36,2483,377
/cmpt816/linux/arch/x86/kernel/cpu/mcheck/mce-severity.c,40,15,219,6,289,25
/cmpt816/linux/arch/x86/kernel/cpu/mcheck/mce_intel.c,80,15,194,10,342,46
/cmpt816/linux/arch/x86/kernel/cpu/mcheck/mce_amd.c,87,33,520,16,792,140
/cmpt816/linux/arch/x86/kernel/cpu/mcheck/threshold.c,4,2,14,6,30,5
/cmpt816/linux/arch/x86/kernel/cpu/mcheck/therm_throt.c,109,16,284,15,509,68
/cmpt816/linux/arch/x86/kernel/cpu/mtrr/main.c,271,26,390,17,770,74
/cmpt816/linux/arch/x86/kernel/cpu/mtrr/if.c,18,11,366,11,452,46
/cmpt816/linux/arch/x86/kernel/cpu/mtrr/generic.c,168,32,500,11,843,144
/cmpt816/linux/arch/x86/kernel/cpu/mtrr/cleanup.c,100,31,657,14,981,164
/cmpt816/linux/arch/x86/kernel/cpu/perfctr-watchdog.c,37,7,83,9,161,23
/cmpt816/linux/arch/x86/kernel/cpu/perf_event_amd_ibs.c,118,42,609,9,909,157
/cmpt816/linux/arch/x86/kernel/kprobes/core.c,352,37,579,18,1078,110
/cmpt816/linux/arch/x86/kernel/kprobes/opt.c,109,21,305,18,513,65
/cmpt816/linux/arch/x86/kernel/reboot.c,179,29,499,27,820,90
/cmpt816/linux/arch/x86/kernel/msr.c,29,13,211,16,304,35
/cmpt816/linux/arch/x86/kernel/cpuid.c,31,13,157,16,246,30
/cmpt816/linux/arch/x86/kernel/early-quirks.c,58,15,193,10,313,42
/cmpt816/linux/arch/x86/kernel/smp.c,132,11,114,17,305,35
/cmpt816/linux/arch/x86/kernel/smpboot.c,397,49,782,34,1472,229
/cmpt816/linux/arch/x86/kernel/tsc_sync.c,96,4,85,6,218,25
/cmpt816/linux/arch/x86/kernel/setup_percpu.c,69,9,154,20,288,27
/cmpt816/linux/arch/x86/kernel/mpparse.c,127,35,620,22,918,128
/cmpt816/linux/arch/x86/kernel/trace_clock.c,8,1,7,3,22,4
/cmpt816/linux/arch/x86/kernel/machine_kexec_64.c,44,11,182,14,284,43
/cmpt816/linux/arch/x86/kernel/crash.c,41,5,51,20,139,20
/cmpt816/linux/arch/x86/kernel/crash_dump_64.c,19,1,19,4,50,6
/cmpt816/linux/arch/x86/kernel/module.c,28,6,134,12,214,21
/cmpt816/linux/arch/x86/kernel/early_printk.c,19,8,169,19,243,27
/cmpt816/linux/arch/x86/kernel/hpet.c,162,66,782,20,1258,217
/cmpt816/linux/arch/x86/kernel/amd_nb.c,24,12,193,7,287,56
/cmpt816/linux/arch/x86/kernel/pcspeaker.c,0,1,6,3,14,4
/cmpt816/linux/arch/x86/kernel/microcode_core_early.c,27,4,42,3,101,20
/cmpt816/linux/arch/x86/kernel/microcode_intel_early.c,107,27,495,11,798,132
/cmpt816/linux/arch/x86/kernel/microcode_intel_lib.c,36,5,108,7,175,19
/cmpt816/linux/arch/x86/kernel/microcode_core.c,108,37,374,14,646,130
/cmpt816/linux/arch/x86/kernel/microcode_intel.c,93,11,171,8,334,55
/cmpt816/linux/arch/x86/kernel/microcode_amd.c,55,24,330,10,494,89
/cmpt816/linux/arch/x86/kernel/check.c,9,8,104,6,168,39
/cmpt816/linux/arch/x86/kernel/pci-swiotlb.c,13,7,60,11,110,13
/cmpt816/linux/arch/x86/kernel/perf_regs.c,6,6,67,8,106,13
/cmpt816/linux/arch/x86/kernel/audit_64.c,0,8,72,9,82,10
/cmpt816/linux/arch/x86/kernel/amd_gart_64.c,121,30,556,31,899,139
/cmpt816/linux/arch/x86/kernel/aperture_64.c,95,9,318,18,518,77
/cmpt816/linux/arch/x86/kernel/pci-calgary_64.c,185,60,1035,24,1601,280
/cmpt816/linux/arch/x86/kernel/tce_64.c,36,8,104,12,191,37
/cmpt816/linux/arch/x86/kernel/mmconf-fam10h_64.c,24,8,158,13,238,39
/cmpt816/linux/arch/x86/kernel/vsmp_64.c,35,16,141,10,237,35
/cmpt816/linux/arch/x86/kernel/head64.c,29,7,105,22,195,34
/cmpt816/linux/arch/x86/kernel/head.c,38,1,15,5,72,9
/cmpt816/linux/arch/x86/mm/init.c,109,18,347,19,593,89
/cmpt816/linux/arch/x86/mm/init_64.c,166,54,935,48,1426,223
