filename,commentLines,functionCount,functionLines,includeLines,totalLines,whitespaceLines
/cmpt816/linux/scripts/mod/empty.c,1,0,0,0,2,1
/cmpt816/linux/init/main.c,193,40,468,65,923,131
/cmpt816/linux/init/version.c,8,1,14,6,48,6
/cmpt816/linux/init/do_mounts.c,40,16,289,22,423,50
/cmpt816/linux/init/do_mounts_rd.c,40,9,227,12,328,40
/cmpt816/linux/init/do_mounts_initrd.c,15,4,80,10,127,17
/cmpt816/linux/init/do_mounts_md.c,46,6,211,4,303,33
/cmpt816/linux/init/initramfs.c,13,31,502,13,612,57
/cmpt816/linux/init/calibrate.c,52,4,97,5,183,19
/cmpt816/linux/arch/x86/ia32/sys_ia32.c,45,35,384,27,558,69
/cmpt816/linux/arch/x86/ia32/ia32_signal.c,62,16,371,24,568,92
/cmpt816/linux/arch/x86/ia32/ipc32.c,2,1,35,11,55,6
/cmpt816/linux/arch/x86/ia32/audit.c,0,6,40,6,43,7
/cmpt816/linux/arch/x86/kernel/process_64.c,127,23,395,36,656,77
/cmpt816/linux/arch/x86/kernel/signal.c,155,26,518,24,881,127
/cmpt816/linux/arch/x86/kernel/traps.c,182,34,515,42,907,121
/cmpt816/linux/arch/x86/kernel/irq.c,49,8,242,12,367,58
/cmpt816/linux/arch/x86/kernel/irq_64.c,17,3,36,11,85,15
/cmpt816/linux/arch/x86/kernel/dumpstack_64.c,76,8,210,12,345,35
/cmpt816/linux/arch/x86/kernel/time.c,32,7,56,11,122,16
/cmpt816/linux/arch/x86/kernel/ioport.c,36,3,55,12,124,19
/cmpt816/linux/arch/x86/kernel/ldt.c,22,9,199,13,269,31
/cmpt816/linux/arch/x86/kernel/dumpstack.c,48,22,227,14,381,49
/cmpt816/linux/arch/x86/kernel/setup.c,160,34,605,81,1092,169
/cmpt816/linux/arch/x86/kernel/x86_init.c,9,10,71,15,102,16
/cmpt816/linux/arch/x86/kernel/i8259.c,114,25,211,23,415,52
