filename,commentLines,functionCount,functionLines,includeLines,totalLines,whitespaceLines
/cmpt816/linux/scripts/mod/empty.c,1,0,0,0,2,1
/cmpt816/linux/init/main.c,170,36,449,54,858,112
/cmpt816/linux/init/version.c,8,1,14,6,45,6
/cmpt816/linux/init/do_mounts.c,40,17,340,17,476,55
/cmpt816/linux/init/do_mounts_rd.c,65,13,255,10,430,58
/cmpt816/linux/init/do_mounts_initrd.c,15,4,83,10,130,17
/cmpt816/linux/init/initramfs.c,27,31,441,11,586,58
/cmpt816/linux/init/calibrate.c,49,4,91,4,174,21
/cmpt816/linux/arch/x86/kernel/process_64.c,175,37,579,36,917,98
/cmpt816/linux/arch/x86/kernel/signal_64.c,79,11,306,18,494,70
/cmpt816/linux/arch/x86/kernel/traps_64.c,225,49,682,37,1147,124
/cmpt816/linux/arch/x86/kernel/irq_64.c,28,5,169,9,247,33
/cmpt816/linux/arch/x86/kernel/ptrace_64.c,113,13,417,21,622,59
/cmpt816/linux/arch/x86/kernel/time_64.c,60,8,155,31,294,38
/cmpt816/linux/arch/x86/kernel/ioport_64.c,36,3,53,11,118,16
/cmpt816/linux/arch/x86/kernel/ldt_64.c,21,9,187,12,251,29
/cmpt816/linux/arch/x86/kernel/setup_64.c,183,33,742,52,1193,174
/cmpt816/linux/arch/x86/kernel/i8259_64.c,155,21,231,22,503,59
/cmpt816/linux/arch/x86/kernel/sys_x86_64.c,19,5,100,16,156,17
/cmpt816/linux/arch/x86/kernel/x8664_ksyms_64.c,4,0,0,6,63,13
/cmpt816/linux/arch/x86/kernel/i387_64.c,30,8,89,8,151,18
/cmpt816/linux/arch/x86/kernel/syscall_64.c,2,1,5,6,27,7
/cmpt816/linux/arch/x86/kernel/vsyscall_64.c,63,20,215,23,348,37
/cmpt816/linux/arch/x86/kernel/setup64.c,61,8,152,19,296,48
/cmpt816/linux/arch/x86/kernel/bootflag.c,5,5,60,9,99,15
/cmpt816/linux/arch/x86/kernel/e820_64.c,189,21,451,17,752,74
/cmpt816/linux/arch/x86/kernel/reboot_64.c,21,8,101,20,177,30
/cmpt816/linux/arch/x86/kernel/quirks.c,43,12,223,3,396,67
/cmpt816/linux/arch/x86/kernel/i8237.c,18,5,37,3,73,14
/cmpt816/linux/arch/x86/kernel/pci-dma_64.c,56,11,199,9,351,54
/cmpt816/linux/arch/x86/kernel/pci-nommu_64.c,22,7,52,9,99,11
/cmpt816/linux/arch/x86/kernel/alternative.c,41,23,308,13,475,61
/cmpt816/linux/arch/x86/kernel/hpet.c,111,35,393,16,673,116
/cmpt816/linux/arch/x86/kernel/tsc_64.c,38,16,181,11,299,51
/cmpt816/linux/arch/x86/kernel/bugs_64.c,4,1,10,6,23,2
/cmpt816/linux/arch/x86/kernel/i8253.c,76,7,92,10,209,26
/cmpt816/linux/arch/x86/kernel/acpi/boot.c,280,43,788,19,1359,187
/cmpt816/linux/arch/x86/kernel/acpi/sleep_64.c,48,4,33,19,118,11
/cmpt816/linux/arch/x86/kernel/acpi/cstate.c,29,6,83,8,165,28
/cmpt816/linux/arch/x86/kernel/acpi/processor.c,9,2,46,6,78,15
/cmpt816/linux/arch/x86/kernel/cpu/intel_cacheinfo.c,92,42,589,10,833,116
/cmpt816/linux/arch/x86/kernel/cpu/addon_cpuid_features.c,5,3,34,2,51,11
/cmpt816/linux/arch/x86/kernel/cpu/cpufreq/powernow-k8.c,115,41,934,16,1317,236
/cmpt816/linux/arch/x86/kernel/cpu/cpufreq/acpi-cpufreq.c,80,31,551,16,799,137
/cmpt816/linux/arch/x86/kernel/cpu/mcheck/mce_64.c,148,45,572,24,903,125
/cmpt816/linux/arch/x86/kernel/cpu/mcheck/therm_throt.c,63,6,75,7,189,22
/cmpt816/linux/arch/x86/kernel/cpu/mcheck/mce_intel_64.c,9,3,54,9,91,18
/cmpt816/linux/arch/x86/kernel/cpu/mcheck/mce_amd_64.c,54,30,478,15,691,106
/cmpt816/linux/arch/x86/kernel/cpu/mtrr/main.c,246,23,404,11,761,74
/cmpt816/linux/arch/x86/kernel/cpu/mtrr/if.c,18,11,364,9,440,35
/cmpt816/linux/arch/x86/kernel/cpu/mtrr/generic.c,86,26,323,11,510,81
/cmpt816/linux/arch/x86/kernel/cpu/mtrr/state.c,17,3,41,7,80,15
/cmpt816/linux/arch/x86/kernel/cpu/perfctr-watchdog.c,89,39,482,8,724,103
/cmpt816/linux/arch/x86/kernel/msr.c,28,11,143,17,228,28
/cmpt816/linux/arch/x86/kernel/cpuid.c,27,13,144,17,233,34
/cmpt816/linux/arch/x86/kernel/smp_64.c,180,22,248,16,534,66
/cmpt816/linux/arch/x86/kernel/smpboot_64.c,345,28,530,19,1100,161
/cmpt816/linux/arch/x86/kernel/tsc_sync.c,82,3,68,6,188,25
/cmpt816/linux/arch/x86/kernel/apic_64.c,321,50,717,23,1266,171
/cmpt816/linux/arch/x86/kernel/nmi_64.c,83,24,287,14,483,71
/cmpt816/linux/arch/x86/kernel/io_apic_64.c,383,95,1489,24,2291,340
/cmpt816/linux/arch/x86/kernel/mpparse_64.c,163,25,540,15,866,124
/cmpt816/linux/arch/x86/kernel/genapic_64.c,27,3,20,11,74,9
/cmpt816/linux/arch/x86/kernel/genapic_flat_64.c,35,17,125,10,194,25
/cmpt816/linux/arch/x86/kernel/suspend_64.c,66,13,163,6,295,47
/cmpt816/linux/arch/x86/kernel/early_printk.c,22,13,178,10,255,33
/cmpt816/linux/arch/x86/kernel/pci-gart_64.c,90,23,497,24,749,93
/cmpt816/linux/arch/x86/kernel/aperture_64.c,50,8,194,15,300,36
/cmpt816/linux/arch/x86/kernel/pci-swiotlb_64.c,2,2,29,7,45,5
/cmpt816/linux/arch/x86/kernel/kprobes_64.c,252,26,408,10,750,72
/cmpt816/linux/arch/x86/kernel/pmtimer_64.c,24,4,28,9,70,6
/cmpt816/linux/arch/x86/kernel/k8.c,11,5,82,7,124,17
/cmpt816/linux/arch/x86/kernel/module_64.c,25,7,112,11,186,22
/cmpt816/linux/arch/x86/kernel/early-quirks.c,21,7,89,8,139,16
/cmpt816/linux/arch/x86/kernel/topology.c,38,3,22,5,79,7
/cmpt816/linux/arch/x86/kernel/pcspeaker.c,0,1,12,3,21,5
/cmpt816/linux/arch/x86/kernel/head64.c,9,4,38,14,75,13
/cmpt816/linux/arch/x86/kernel/init_task.c,19,1,2,10,48,7
/cmpt816/linux/arch/x86/mm/init_64.c,73,32,529,36,784,112
/cmpt816/linux/arch/x86/mm/fault_64.c,153,10,354,27,624,67
/cmpt816/linux/arch/x86/mm/ioremap_64.c,76,5,92,10,211,22
/cmpt816/linux/arch/x86/mm/extable_64.c,5,1,18,4,35,4
/cmpt816/linux/arch/x86/mm/pageattr_64.c,43,11,172,9,256,25
/cmpt816/linux/arch/x86/mm/mmap_64.c,8,1,14,4,30,3
/cmpt816/linux/arch/x86/mm/hugetlbpage.c,64,15,244,11,392,52
/cmpt816/linux/arch/x86/mm/numa_64.c,94,23,446,14,649,65
/cmpt816/linux/arch/x86/mm/k8topology_64.c,9,2,130,13,183,31
/cmpt816/linux/arch/x86/mm/srat_64.c,69,28,411,11,567,58
/cmpt816/linux/arch/x86/vdso/vma.c,12,5,90,11,141,20
/cmpt816/linux/arch/x86/vdso/vclock_gettime.c,13,7,82,12,122,9
/cmpt816/linux/arch/x86/vdso/vgetcpu.c,8,1,14,7,36,4
/cmpt816/linux/arch/x86/vdso/vvar.c,4,0,0,6,13,2
