28.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31.0,1674.0,7.0,16.0,82.0,43.0,3.0,15.0,6.0,88.0,1.0,8.0
0.0,8.0,45.0,0.0,7.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
0.0,2.0,0.0,10.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,51.0,3.0,1.0,329.0,7.0,0.0,1.0,0.0,5.0,0.0,2.0
0.0,35.0,0.0,0.0,21.0,298.0,0.0,22.0,1.0,17.0,0.0,0.0
0.0,0.0,0.0,1.0,0.0,0.0,37.0,0.0,0.0,22.0,0.0,0.0
2.0,17.0,0.0,1.0,4.0,26.0,2.0,164.0,0.0,4.0,0.0,4.0
0.0,15.0,0.0,0.0,0.0,4.0,0.0,0.0,143.0,4.0,0.0,7.0
0.0,50.0,1.0,0.0,2.0,8.0,4.0,7.0,2.0,379.0,0.0,0.0
0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0
0.0,24.0,0.0,0.0,3.0,4.0,0.0,0.0,0.0,12.0,0.0,112.0
