filename,commentLines,functionCount,functionLines,includeLines,totalLines,whitespaceLines
/cmpt816/linux/scripts/mod/empty.c,1,0,0,0,2,1
/cmpt816/linux/init/main.c,179,34,436,65,844,113
/cmpt816/linux/init/version.c,8,1,15,6,49,6
/cmpt816/linux/init/do_mounts.c,74,18,369,22,561,69
/cmpt816/linux/init/do_mounts_rd.c,43,9,236,12,342,42
/cmpt816/linux/init/do_mounts_initrd.c,15,4,80,10,127,17
/cmpt816/linux/init/do_mounts_md.c,46,6,211,4,303,33
/cmpt816/linux/init/initramfs.c,13,31,501,13,612,57
/cmpt816/linux/init/calibrate.c,76,7,179,6,301,31
/cmpt816/linux/arch/x86/ia32/sys_ia32.c,45,35,384,26,557,69
/cmpt816/linux/arch/x86/ia32/ia32_signal.c,62,16,364,24,564,95
/cmpt816/linux/arch/x86/ia32/nosyscall.c,0,1,4,2,8,2
/cmpt816/linux/arch/x86/ia32/syscall_ia32.c,5,1,5,6,26,6
/cmpt816/linux/arch/x86/ia32/ipc32.c,2,1,35,11,55,6
/cmpt816/linux/arch/x86/ia32/audit.c,0,6,40,6,43,7
/cmpt816/linux/arch/x86/kernel/process_64.c,118,23,395,37,648,77
/cmpt816/linux/arch/x86/kernel/signal.c,144,26,500,24,853,128
/cmpt816/linux/arch/x86/kernel/traps.c,166,25,389,42,727,90
/cmpt816/linux/arch/x86/kernel/irq.c,48,7,212,15,329,48
/cmpt816/linux/arch/x86/kernel/irq_64.c,17,3,56,11,111,20
/cmpt816/linux/arch/x86/kernel/dumpstack_64.c,65,7,189,12,308,32
/cmpt816/linux/arch/x86/kernel/time.c,25,7,50,12,105,14
/cmpt816/linux/arch/x86/kernel/ioport.c,35,2,48,13,114,17
/cmpt816/linux/arch/x86/kernel/ldt.c,22,9,199,13,269,31
/cmpt816/linux/arch/x86/kernel/dumpstack.c,45,18,187,14,327,41
/cmpt816/linux/arch/x86/kernel/nmi.c,164,23,260,15,538,79
/cmpt816/linux/arch/x86/kernel/setup.c,161,33,564,83,1065,179
/cmpt816/linux/arch/x86/kernel/x86_init.c,9,12,87,18,120,17
/cmpt816/linux/arch/x86/kernel/i8259.c,114,25,204,23,403,52
/cmpt816/linux/arch/x86/kernel/irqinit.c,79,11,181,27,329,40
/cmpt816/linux/arch/x86/kernel/jump_label.c,6,4,31,9,60,9
