filename,commentLines,functionCount,functionLines,includeLines,totalLines,whitespaceLines
/cmpt816/linux/arch/x86/kernel/cpu/rdrand.c,27,2,21,3,61,6
/cmpt816/linux/arch/x86/kernel/cpu/match.c,24,1,17,5,50,3
/cmpt816/linux/arch/x86/kernel/cpu/proc.c,4,8,129,5,163,22
/cmpt816/linux/arch/x86/kernel/cpu/capflags.c,0,2,191,1,195,3
/cmpt816/linux/arch/x86/kernel/cpu/powerflags.c,16,1,3,1,22,2
/cmpt816/linux/arch/x86/kernel/cpu/bugs_64.c,12,1,11,7,34,3
/cmpt816/linux/arch/x86/kernel/cpu/intel.c,142,15,488,17,757,84
/cmpt816/linux/arch/x86/kernel/cpu/amd.c,204,23,494,12,872,133
/cmpt816/linux/arch/x86/kernel/cpu/centaur.c,29,6,166,7,230,20
/cmpt816/linux/arch/x86/kernel/cpu/perf_event.c,355,86,1341,23,2173,403
/cmpt816/linux/arch/x86/kernel/cpu/perf_event_amd.c,178,25,421,7,729,90
/cmpt816/linux/arch/x86/kernel/cpu/perf_event_amd_uncore.c,31,33,426,10,601,117
/cmpt816/linux/arch/x86/kernel/cpu/perf_event_amd_iommu.c,44,24,313,6,500,92
/cmpt816/linux/arch/x86/kernel/cpu/perf_event_p6.c,62,12,174,3,280,30
/cmpt816/linux/arch/x86/kernel/cpu/perf_event_knc.c,50,14,207,4,320,46
/cmpt816/linux/arch/x86/kernel/cpu/perf_event_p4.c,233,31,1006,5,1377,120
/cmpt816/linux/arch/x86/kernel/cpu/perf_event_intel_lbr.c,208,28,422,6,793,111
/cmpt816/linux/arch/x86/kernel/cpu/perf_event_intel_ds.c,212,43,678,6,1100,203
/cmpt816/linux/arch/x86/kernel/cpu/perf_event_intel.c,567,84,1635,9,2654,309
/cmpt816/linux/arch/x86/kernel/cpu/perf_event_intel_rapl.c,142,38,426,5,731,127
/cmpt816/linux/arch/x86/kernel/cpu/perf_event_intel_uncore.c,121,55,942,1,1310,228
/cmpt816/linux/arch/x86/kernel/cpu/perf_event_intel_uncore_snb.c,242,30,270,1,637,82
/cmpt816/linux/arch/x86/kernel/cpu/perf_event_intel_uncore_snbep.c,871,152,1332,1,2325,169
/cmpt816/linux/arch/x86/kernel/cpu/perf_event_intel_uncore_nhmex.c,200,46,719,1,1222,123
/cmpt816/linux/arch/x86/kernel/cpu/mcheck/mce.c,549,113,1549,36,2609,393
/cmpt816/linux/arch/x86/kernel/cpu/mcheck/mce-severity.c,40,16,226,6,295,25
/cmpt816/linux/arch/x86/kernel/cpu/mcheck/mce_intel.c,93,18,223,10,392,54
/cmpt816/linux/arch/x86/kernel/cpu/mcheck/mce_amd.c,87,33,520,16,792,142
/cmpt816/linux/arch/x86/kernel/cpu/mcheck/threshold.c,3,4,24,7,42,7
/cmpt816/linux/arch/x86/kernel/cpu/mcheck/therm_throt.c,116,20,323,16,574,82
/cmpt816/linux/arch/x86/kernel/cpu/microcode/core.c,108,37,378,14,654,132
/cmpt816/linux/arch/x86/kernel/cpu/microcode/intel.c,93,11,171,8,334,55
/cmpt816/linux/arch/x86/kernel/cpu/microcode/intel_lib.c,36,5,108,7,175,19
/cmpt816/linux/arch/x86/kernel/cpu/microcode/amd.c,60,23,322,11,493,91
/cmpt816/linux/arch/x86/kernel/cpu/microcode/core_early.c,28,8,124,6,200,33
/cmpt816/linux/arch/x86/kernel/cpu/microcode/intel_early.c,107,27,508,11,814,138
/cmpt816/linux/arch/x86/kernel/cpu/microcode/amd_early.c,78,10,250,5,423,78
/cmpt816/linux/arch/x86/kernel/cpu/mtrr/main.c,300,29,422,18,843,79
/cmpt816/linux/arch/x86/kernel/cpu/mtrr/if.c,18,11,366,11,452,46
/cmpt816/linux/arch/x86/kernel/cpu/mtrr/generic.c,168,32,503,11,846,144
/cmpt816/linux/arch/x86/kernel/cpu/mtrr/cleanup.c,100,31,657,14,981,164
/cmpt816/linux/arch/x86/kernel/cpu/perfctr-watchdog.c,37,7,83,9,161,23
/cmpt816/linux/arch/x86/kernel/cpu/perf_event_amd_ibs.c,123,48,645,10,962,166
/cmpt816/linux/arch/x86/kernel/kprobes/core.c,357,38,574,18,1103,114
/cmpt816/linux/arch/x86/kernel/kprobes/opt.c,95,16,232,18,450,58
/cmpt816/linux/arch/x86/kernel/reboot.c,178,28,478,29,787,86
/cmpt816/linux/arch/x86/kernel/msr.c,29,13,210,16,307,38
/cmpt816/linux/arch/x86/kernel/cpuid.c,31,13,157,16,246,31
/cmpt816/linux/arch/x86/kernel/early-quirks.c,100,44,493,12,704,96
/cmpt816/linux/arch/x86/kernel/smp.c,141,18,153,18,361,42
/cmpt816/linux/arch/x86/kernel/smpboot.c,405,50,789,35,1491,232
/cmpt816/linux/arch/x86/kernel/tsc_sync.c,96,4,85,5,217,25
/cmpt816/linux/arch/x86/kernel/setup_percpu.c,69,9,154,20,288,27
/cmpt816/linux/arch/x86/kernel/mpparse.c,127,36,619,23,919,130
/cmpt816/linux/arch/x86/kernel/trace_clock.c,8,1,7,3,22,4
/cmpt816/linux/arch/x86/kernel/machine_kexec_64.c,86,19,344,16,537,80
/cmpt816/linux/arch/x86/kernel/crash.c,127,23,420,21,702,115
/cmpt816/linux/arch/x86/kernel/crash_dump_64.c,19,1,19,4,50,6
/cmpt816/linux/arch/x86/kernel/module.c,34,9,156,13,254,25
/cmpt816/linux/arch/x86/kernel/doublefault.c,3,4,50,8,84,18
/cmpt816/linux/arch/x86/kernel/early_printk.c,19,8,173,21,250,28
/cmpt816/linux/arch/x86/kernel/hpet.c,162,66,778,20,1254,217
/cmpt816/linux/arch/x86/kernel/amd_nb.c,28,12,201,7,300,57
/cmpt816/linux/arch/x86/kernel/pcspeaker.c,0,1,6,3,14,4
/cmpt816/linux/arch/x86/kernel/check.c,9,8,104,6,168,39
/cmpt816/linux/arch/x86/kernel/pci-swiotlb.c,13,7,63,11,113,13
/cmpt816/linux/arch/x86/kernel/sysfb.c,32,1,25,8,75,7
/cmpt816/linux/arch/x86/kernel/sysfb_efi.c,28,7,165,9,215,14
/cmpt816/linux/arch/x86/kernel/perf_regs.c,34,8,118,8,196,20
/cmpt816/linux/arch/x86/kernel/tracepoint.c,8,5,37,3,60,9
/cmpt816/linux/arch/x86/kernel/pmc_atom.c,45,19,219,8,325,45
/cmpt816/linux/arch/x86/kernel/audit_64.c,0,8,73,9,83,10
/cmpt816/linux/arch/x86/kernel/pci-calgary_64.c,189,60,1038,24,1608,280
/cmpt816/linux/arch/x86/kernel/tce_64.c,36,8,104,12,191,37
/cmpt816/linux/arch/x86/kernel/mmconf-fam10h_64.c,24,8,158,13,238,39
/cmpt816/linux/arch/x86/kernel/vsmp_64.c,37,16,143,10,246,39
/cmpt816/linux/arch/x86/kernel/head64.c,29,7,105,22,195,34
/cmpt816/linux/arch/x86/kernel/head.c,38,1,15,5,72,9
/cmpt816/linux/arch/x86/mm/init.c,173,24,401,20,724,99
/cmpt816/linux/arch/x86/mm/init_64.c,168,50,903,47,1391,219
/cmpt816/linux/arch/x86/mm/fault.c,355,40,707,16,1332,200
/cmpt816/linux/arch/x86/mm/ioremap.c,104,15,248,15,438,59
/cmpt816/linux/arch/x86/mm/extable.c,33,8,105,4,170,20
/cmpt816/linux/arch/x86/mm/pageattr.c,425,79,1099,22,1929,313
/cmpt816/linux/arch/x86/mm/mmap.c,42,7,59,6,125,16
/cmpt816/linux/arch/x86/mm/pat.c,189,44,597,23,1009,157
