filename,commentLines,functionCount,functionLines,includeLines,totalLines,whitespaceLines
/cmpt816/linux/scripts/mod/empty.c,1,0,0,0,2,1
/cmpt816/linux/init/main.c,174,34,428,65,831,110
/cmpt816/linux/init/version.c,8,1,15,6,49,6
/cmpt816/linux/init/do_mounts.c,60,18,327,22,494,61
/cmpt816/linux/init/do_mounts_rd.c,40,9,227,12,328,40
/cmpt816/linux/init/do_mounts_initrd.c,15,4,80,10,127,17
/cmpt816/linux/init/do_mounts_md.c,46,6,211,4,303,33
/cmpt816/linux/init/initramfs.c,13,31,501,13,612,57
/cmpt816/linux/init/calibrate.c,60,5,117,5,215,23
/cmpt816/linux/arch/x86/ia32/sys_ia32.c,45,35,384,26,557,69
/cmpt816/linux/arch/x86/ia32/ia32_signal.c,62,16,371,24,568,92
/cmpt816/linux/arch/x86/ia32/ipc32.c,2,1,35,11,55,6
/cmpt816/linux/arch/x86/ia32/audit.c,0,6,40,6,43,7
/cmpt816/linux/arch/x86/kernel/process_64.c,129,23,398,35,660,77
/cmpt816/linux/arch/x86/kernel/signal.c,155,26,518,24,881,127
/cmpt816/linux/arch/x86/kernel/traps.c,188,34,486,42,882,118
/cmpt816/linux/arch/x86/kernel/irq.c,48,7,206,14,322,48
/cmpt816/linux/arch/x86/kernel/irq_64.c,17,3,36,11,85,15
/cmpt816/linux/arch/x86/kernel/dumpstack_64.c,74,8,203,12,335,34
/cmpt816/linux/arch/x86/kernel/time.c,25,7,50,11,104,14
/cmpt816/linux/arch/x86/kernel/ioport.c,35,2,48,13,114,17
/cmpt816/linux/arch/x86/kernel/ldt.c,22,9,199,13,269,31
/cmpt816/linux/arch/x86/kernel/dumpstack.c,45,20,199,14,343,44
/cmpt816/linux/arch/x86/kernel/setup.c,156,33,570,83,1065,178
/cmpt816/linux/arch/x86/kernel/x86_init.c,9,11,81,17,114,17
/cmpt816/linux/arch/x86/kernel/i8259.c,114,25,204,23,403,52
/cmpt816/linux/arch/x86/kernel/irqinit.c,79,11,184,27,332,40
/cmpt816/linux/arch/x86/kernel/jump_label.c,6,3,27,9,51,7
/cmpt816/linux/arch/x86/kernel/irq_work.c,5,2,17,4,31,4
/cmpt816/linux/arch/x86/kernel/sys_x86_64.c,39,4,119,18,212,28
/cmpt816/linux/arch/x86/kernel/x8664_ksyms_64.c,7,0,0,8,61,12
/cmpt816/linux/arch/x86/kernel/syscall_64.c,5,1,5,6,30,7
/cmpt816/linux/arch/x86/kernel/vsyscall_64.c,60,18,184,23,315,38
/cmpt816/linux/arch/x86/kernel/bootflag.c,5,5,61,8,102,21
/cmpt816/linux/arch/x86/kernel/e820.c,264,36,669,13,1126,142
/cmpt816/linux/arch/x86/kernel/pci-dma.c,42,13,184,14,324,51
/cmpt816/linux/arch/x86/kernel/quirks.c,61,18,316,3,558,81
/cmpt816/linux/arch/x86/kernel/topology.c,38,4,25,5,83,8
/cmpt816/linux/arch/x86/kernel/kdebugfs.c,9,9,154,9,220,43
/cmpt816/linux/arch/x86/kernel/alternative.c,126,30,405,21,707,79
/cmpt816/linux/arch/x86/kernel/i8253.c,83,7,89,12,215,26
/cmpt816/linux/arch/x86/kernel/pci-nommu.c,17,7,58,10,107,12
/cmpt816/linux/arch/x86/kernel/hw_breakpoint.c,142,16,284,16,525,72
/cmpt816/linux/arch/x86/kernel/tsc.c,322,33,500,20,1041,152
/cmpt816/linux/arch/x86/kernel/io_delay.c,21,5,90,6,132,12
/cmpt816/linux/arch/x86/kernel/rtc.c,44,10,150,9,250,38
/cmpt816/linux/arch/x86/kernel/pci-iommu_table.c,5,4,55,4,90,17
/cmpt816/linux/arch/x86/kernel/resource.c,3,3,32,2,49,10
/cmpt816/linux/arch/x86/kernel/trampoline.c,7,2,19,5,43,10
/cmpt816/linux/arch/x86/kernel/process.c,144,39,393,24,681,89
/cmpt816/linux/arch/x86/kernel/i387.c,117,26,445,11,749,121
/cmpt816/linux/arch/x86/kernel/xsave.c,137,11,240,5,477,77
/cmpt816/linux/arch/x86/kernel/ptrace.c,211,48,932,34,1432,176
/cmpt816/linux/arch/x86/kernel/tls.c,16,10,140,13,219,39
/cmpt816/linux/arch/x86/kernel/step.c,72,7,108,4,217,31
/cmpt816/linux/arch/x86/kernel/i8237.c,18,3,23,3,56,10
/cmpt816/linux/arch/x86/kernel/stacktrace.c,12,15,116,5,160,23
/cmpt816/linux/arch/x86/kernel/acpi/boot.c,343,62,986,21,1691,256
/cmpt816/linux/arch/x86/kernel/acpi/sleep.c,26,2,73,11,133,15
/cmpt816/linux/arch/x86/kernel/acpi/realmode/wakemain.c,12,4,52,2,82,13
/cmpt816/linux/arch/x86/kernel/acpi/realmode/video-mode.c,0,0,0,1,2,1
/cmpt816/linux/arch/x86/kernel/acpi/realmode/regs.c,0,0,0,1,2,1
/cmpt816/linux/arch/x86/kernel/acpi/realmode/video-vga.c,0,0,0,1,2,1
/cmpt816/linux/arch/x86/kernel/acpi/realmode/video-vesa.c,0,0,0,1,2,1
/cmpt816/linux/arch/x86/kernel/acpi/realmode/video-bios.c,0,0,0,1,2,1
/cmpt816/linux/arch/x86/kernel/acpi/cstate.c,38,7,96,9,181,26
