filename,commentLines,functionCount,functionLines,includeLines,totalLines,whitespaceLines
/cmpt816/linux/scripts/mod/empty.c,1,0,0,0,2,1
/cmpt816/linux/init/main.c,193,40,467,64,919,131
/cmpt816/linux/init/version.c,8,1,14,6,48,6
/cmpt816/linux/init/do_mounts.c,60,18,326,22,493,61
/cmpt816/linux/init/do_mounts_rd.c,40,9,227,12,328,40
/cmpt816/linux/init/do_mounts_initrd.c,15,4,80,10,127,17
/cmpt816/linux/init/do_mounts_md.c,46,6,211,4,303,33
/cmpt816/linux/init/initramfs.c,13,31,501,13,612,57
/cmpt816/linux/init/calibrate.c,52,4,97,5,183,19
/cmpt816/linux/arch/x86/ia32/sys_ia32.c,45,35,384,26,557,69
/cmpt816/linux/arch/x86/ia32/ia32_signal.c,62,16,371,24,568,92
/cmpt816/linux/arch/x86/ia32/ipc32.c,2,1,35,11,55,6
/cmpt816/linux/arch/x86/ia32/audit.c,0,6,40,6,43,7
/cmpt816/linux/arch/x86/kernel/process_64.c,127,23,395,36,656,77
/cmpt816/linux/arch/x86/kernel/signal.c,155,26,518,24,881,127
/cmpt816/linux/arch/x86/kernel/traps.c,181,33,497,42,885,120
/cmpt816/linux/arch/x86/kernel/irq.c,49,8,244,12,369,58
/cmpt816/linux/arch/x86/kernel/irq_64.c,17,3,36,11,85,15
/cmpt816/linux/arch/x86/kernel/dumpstack_64.c,76,8,210,12,345,35
/cmpt816/linux/arch/x86/kernel/time.c,32,7,56,11,122,16
/cmpt816/linux/arch/x86/kernel/ioport.c,36,3,55,12,124,19
/cmpt816/linux/arch/x86/kernel/ldt.c,22,9,199,13,269,31
/cmpt816/linux/arch/x86/kernel/dumpstack.c,48,22,227,14,381,49
/cmpt816/linux/arch/x86/kernel/setup.c,172,34,578,82,1095,181
/cmpt816/linux/arch/x86/kernel/x86_init.c,9,11,77,17,109,16
/cmpt816/linux/arch/x86/kernel/i8259.c,114,26,216,23,416,54
/cmpt816/linux/arch/x86/kernel/irqinit.c,75,11,119,26,260,38
/cmpt816/linux/arch/x86/kernel/jump_label.c,6,3,27,9,51,7
/cmpt816/linux/arch/x86/kernel/irq_work.c,5,2,17,4,31,4
/cmpt816/linux/arch/x86/kernel/sys_x86_64.c,39,4,119,18,212,28
/cmpt816/linux/arch/x86/kernel/x8664_ksyms_64.c,7,0,0,8,60,12
/cmpt816/linux/arch/x86/kernel/syscall_64.c,5,1,5,6,30,7
/cmpt816/linux/arch/x86/kernel/vsyscall_64.c,60,18,184,23,315,38
/cmpt816/linux/arch/x86/kernel/bootflag.c,5,5,61,8,102,21
/cmpt816/linux/arch/x86/kernel/e820.c,263,36,670,11,1124,142
/cmpt816/linux/arch/x86/kernel/pci-dma.c,42,13,184,14,324,51
/cmpt816/linux/arch/x86/kernel/quirks.c,61,18,316,3,558,81
/cmpt816/linux/arch/x86/kernel/i8237.c,18,5,37,3,72,13
/cmpt816/linux/arch/x86/kernel/topology.c,38,4,25,5,83,8
/cmpt816/linux/arch/x86/kernel/kdebugfs.c,9,9,154,9,220,43
