filename,commentLines,functionCount,functionLines,includeLines,totalLines,whitespaceLines
/cmpt816/linux/scripts/mod/empty.c,1,0,0,0,2,1
/cmpt816/linux/init/main.c,175,34,435,52,839,109
/cmpt816/linux/init/version.c,8,1,14,6,45,6
/cmpt816/linux/init/do_mounts.c,39,16,326,17,456,52
/cmpt816/linux/init/do_mounts_rd.c,65,13,255,10,430,58
/cmpt816/linux/init/do_mounts_initrd.c,11,4,84,10,125,15
/cmpt816/linux/init/initramfs.c,27,31,441,11,586,58
/cmpt816/linux/init/calibrate.c,49,4,91,4,174,21
/cmpt816/linux/arch/x86_64/kernel/process.c,171,36,564,34,893,95
/cmpt816/linux/arch/x86_64/kernel/signal.c,79,11,303,17,489,70
/cmpt816/linux/arch/x86_64/kernel/traps.c,228,49,665,35,1124,119
/cmpt816/linux/arch/x86_64/kernel/irq.c,30,5,134,9,214,32
/cmpt816/linux/arch/x86_64/kernel/ptrace.c,116,13,426,21,634,59
/cmpt816/linux/arch/x86_64/kernel/time.c,100,18,272,29,490,66
/cmpt816/linux/arch/x86_64/kernel/ioport.c,38,3,53,11,120,16
/cmpt816/linux/arch/x86_64/kernel/ldt.c,23,9,187,12,253,29
/cmpt816/linux/arch/x86_64/kernel/setup.c,184,29,669,52,1101,164
/cmpt816/linux/arch/x86_64/kernel/i8259.c,162,27,259,22,563,68
/cmpt816/linux/arch/x86_64/kernel/sys_x86_64.c,22,5,100,15,159,17
/cmpt816/linux/arch/x86_64/kernel/x8664_ksyms.c,4,0,0,6,63,13
/cmpt816/linux/arch/x86_64/kernel/i387.c,32,8,88,8,152,18
/cmpt816/linux/arch/x86_64/kernel/syscall.c,2,1,5,6,27,7
/cmpt816/linux/arch/x86_64/kernel/vsyscall.c,66,21,227,22,364,38
/cmpt816/linux/arch/x86_64/kernel/setup64.c,57,8,152,19,290,47
/cmpt816/linux/arch/i386/kernel/alternative.c,28,21,275,6,405,54
/cmpt816/linux/arch/i386/kernel/bootflag.c,5,5,60,9,99,15
/cmpt816/linux/arch/i386/kernel/cpuid.c,31,13,149,17,243,34
/cmpt816/linux/arch/i386/kernel/i8237.c,18,5,37,3,73,14
/cmpt816/linux/arch/i386/kernel/cpu/intel_cacheinfo.c,92,41,536,10,772,108
/cmpt816/linux/arch/i386/kernel/legacy_serial.c,12,4,30,4,68,10
/cmpt816/linux/arch/i386/kernel/msr.c,30,10,138,17,225,27
/cmpt816/linux/arch/i386/kernel/pcspeaker.c,0,1,12,3,21,5
/cmpt816/linux/arch/i386/kernel/cpu/perfctr-watchdog.c,82,38,463,8,696,101
/cmpt816/linux/arch/i386/kernel/quirks.c,11,1,24,2,50,8
/cmpt816/linux/arch/i386/kernel/cpu/mcheck/therm_throt.c,63,6,71,7,185,22
/cmpt816/linux/arch/i386/kernel/topology.c,38,3,20,5,78,8
/cmpt816/linux/arch/x86_64/kernel/e820.c,183,19,430,17,720,73
/cmpt816/linux/arch/x86_64/kernel/reboot.c,21,8,97,17,168,28
/cmpt816/linux/arch/x86_64/kernel/pci-dma.c,54,10,194,8,339,49
/cmpt816/linux/arch/x86_64/kernel/pci-nommu.c,22,7,52,8,98,11
/cmpt816/linux/arch/x86_64/kernel/hpet.c,93,19,278,14,494,80
/cmpt816/linux/arch/x86_64/kernel/tsc.c,26,15,132,10,227,40
/cmpt816/linux/arch/x86_64/kernel/bugs.c,6,1,10,5,24,2
/cmpt816/linux/arch/x86_64/kernel/mce.c,114,38,499,21,759,94
/cmpt816/linux/arch/x86_64/kernel/mce_intel.c,9,3,53,9,90,18
/cmpt816/linux/arch/x86_64/kernel/mce_amd.c,54,30,477,15,690,106
/cmpt816/linux/arch/i386/kernel/cpu/mtrr/main.c,246,23,407,11,769,77
/cmpt816/linux/arch/i386/kernel/cpu/mtrr/if.c,18,11,364,9,440,35
/cmpt816/linux/arch/i386/kernel/cpu/mtrr/generic.c,86,26,323,11,510,81
/cmpt816/linux/arch/i386/kernel/cpu/mtrr/state.c,17,3,41,6,79,15
/cmpt816/linux/arch/i386/kernel/acpi/boot.c,263,42,757,19,1299,177
/cmpt816/linux/arch/i386/kernel/acpi/processor.c,9,2,45,6,76,14
/cmpt816/linux/arch/i386/kernel/acpi/cstate.c,29,6,83,8,165,28
/cmpt816/linux/arch/x86_64/kernel/acpi/sleep.c,49,5,34,19,123,12
/cmpt816/linux/arch/i386/kernel/cpu/cpufreq/acpi-cpufreq.c,79,31,569,16,816,137
/cmpt816/linux/arch/i386/kernel/cpu/cpufreq/powernow-k8.c,116,44,966,16,1355,241
